CreditCardID;CardType;CardNumber;ExpMonth;ExpYear;ModifiedDate
152;SuperiorCard;33332580697839;10;2005;2013-07-12
153;Vista;11117820763787;1;2005;2013-08-18
154;ColonialVoice;77774677693254;8;2008;2013-09-16
155;ColonialVoice;77777310997414;3;2006;2013-11-06
156;Vista;11117316308667;4;2007;2011-12-19
157;Vista;11112727657519;6;2005;2011-09-20
158;SuperiorCard;33338418715127;6;2006;2014-05-09
159;SuperiorCard;33332180625781;1;2008;2012-11-26
160;Vista;11117586821468;12;2007;2014-03-11
161;Vista;11113066996675;3;2005;2011-07-01
162;SuperiorCard;33338226131303;8;2008;2014-03-31
163;Vista;11115931141608;12;2006;2014-01-29
164;ColonialVoice;77773467064957;5;2005;2014-05-25
165;ColonialVoice;77772090003580;2;2007;2013-10-07
166;Vista;11117354769916;9;2006;2013-10-11
167;SuperiorCard;33335313248723;11;2005;2014-03-31
168;SuperiorCard;33331366432094;1;2007;2012-05-01
169;Distinguish;55555490126754;10;2008;2012-06-14
170;ColonialVoice;77775004062798;6;2006;2012-03-10
171;Distinguish;55554843263520;8;2005;2013-09-05
172;SuperiorCard;33338669078698;11;2008;2012-08-24
173;SuperiorCard;33331831813839;10;2007;2012-10-15
174;ColonialVoice;77772993284666;7;2006;2014-01-12
175;ColonialVoice;77779842480754;1;2006;2012-07-20
176;SuperiorCard;33337664613331;10;2007;2013-11-27
177;Vista;11114493005589;9;2005;2012-09-09
178;Vista;11115247168390;6;2008;2013-03-07
179;SuperiorCard;33332143726640;3;2007;2013-08-19
180;Distinguish;55554119155738;12;2008;2012-05-30
181;ColonialVoice;77773813992363;12;2007;2011-07-01
182;Distinguish;55557755502133;3;2008;2013-03-24
183;Vista;11112359824733;3;2005;2014-01-01
184;SuperiorCard;33333348568848;10;2007;2013-11-03
185;Distinguish;55559237831556;3;2008;2014-03-04
186;Vista;11118301852338;10;2007;2013-11-04
187;Vista;11115020407589;2;2007;2014-03-01
188;ColonialVoice;77777688940363;12;2005;2013-09-13
189;SuperiorCard;33338902011178;1;2008;2014-04-25
190;Distinguish;55557767763037;7;2006;2014-01-17
191;SuperiorCard;33338434402110;7;2005;2013-12-20
192;SuperiorCard;33335647678654;6;2007;2013-11-23
193;Vista;11115472069769;12;2005;2013-04-30
194;ColonialVoice;77774510580754;8;2008;2012-06-30
195;Distinguish;55551871947166;9;2005;2012-08-28
196;Vista;11117010076386;7;2005;2014-05-22
197;Distinguish;55556931298047;5;2006;2012-04-18
198;SuperiorCard;33335007569167;7;2007;2014-01-23
199;SuperiorCard;33335500655096;5;2007;2013-11-10
200;Distinguish;55557032858138;4;2008;2014-04-28
201;ColonialVoice;77779670323108;5;2005;2014-06-14
202;SuperiorCard;33338461708438;12;2007;2013-10-16
203;Vista;11111448471115;11;2007;2014-03-01
204;Distinguish;55556333798473;4;2005;2011-07-01
205;Distinguish;55556779365170;4;2008;2012-08-15
206;Vista;11116739347695;7;2006;2013-10-30
207;Distinguish;55553665516951;1;2008;2013-08-06
208;Distinguish;55551100991160;11;2007;2012-04-12
209;Vista;11115652257330;11;2005;2014-06-11
210;SuperiorCard;33331045083655;7;2006;2013-10-03
211;SuperiorCard;33338100993388;6;2006;2013-10-18
212;SuperiorCard;33334516281208;7;2008;2014-03-14
213;SuperiorCard;33335468433685;9;2008;2011-12-30
214;SuperiorCard;33334836418984;4;2008;2013-09-19
215;Vista;11112748708059;3;2008;2011-11-18
216;Distinguish;55559713551424;7;2005;2011-11-05
217;SuperiorCard;33337773356896;10;2005;2012-08-04
218;Vista;11116900410151;12;2007;2014-02-25
219;SuperiorCard;33333000525927;2;2006;2014-01-07
220;Distinguish;55556544254316;12;2005;2009-01-15
221;Vista;11113174835553;10;2007;2014-02-24
222;ColonialVoice;77777095305642;3;2007;2013-08-14
223;SuperiorCard;33334363859950;8;2007;2011-10-12
224;Vista;11111290138301;5;2006;2013-04-27
225;Vista;11111419890999;10;2005;2012-02-10
226;SuperiorCard;33332281809376;4;2006;2013-11-08
227;Vista;11113025574459;10;2007;2013-06-30
228;Vista;11117706542802;7;2007;2014-04-14
229;SuperiorCard;33331049139565;9;2008;2014-06-29
230;Distinguish;55552612523111;7;2008;2013-07-31
231;Vista;11119558626152;11;2008;2012-02-03
232;Vista;11114626054731;10;2007;2014-05-21
233;ColonialVoice;77778363584843;1;2007;2014-05-07
234;ColonialVoice;77775702340665;3;2005;2013-09-29
235;ColonialVoice;77774153486314;2;2006;2014-05-04
236;ColonialVoice;77772024781018;12;2005;2013-07-27
237;SuperiorCard;33334524652098;4;2006;2014-03-31
238;ColonialVoice;77771764342795;12;2005;2013-09-25
239;Distinguish;55556382031773;10;2006;2013-05-23
240;Distinguish;55553353112217;5;2008;2013-11-21
241;ColonialVoice;77776406923553;5;2005;2014-06-16
242;SuperiorCard;33337414425957;10;2005;2011-05-31
243;Distinguish;55554566989903;3;2007;2014-02-23
244;SuperiorCard;33332518757403;7;2005;2014-02-05
245;ColonialVoice;77776250555783;8;2008;2013-09-27
246;SuperiorCard;33331574523505;3;2005;2011-08-12
247;SuperiorCard;33334358455811;10;2005;2014-01-17
248;Vista;11118545580995;9;2007;2014-04-11
249;SuperiorCard;33333022881251;9;2006;2013-10-14
250;ColonialVoice;77773099238780;2;2008;2013-10-20
251;SuperiorCard;33337187139676;3;2008;2012-01-20
252;SuperiorCard;33337077455871;8;2006;2013-12-15
253;SuperiorCard;33331912505385;10;2005;2013-04-29
254;Distinguish;55554276734483;11;2007;2014-03-17
255;SuperiorCard;33333122092398;6;2006;2014-04-06
256;Vista;11111578243413;12;2008;2014-05-16
257;Vista;11112463732121;10;2006;2013-10-10
258;ColonialVoice;77776185540781;6;2008;2013-01-05
259;SuperiorCard;33338971372491;4;2008;2013-12-06
260;SuperiorCard;33331806839744;7;2008;2009-02-23
261;ColonialVoice;77773186672230;12;2008;2011-10-08
262;SuperiorCard;33339710777722;4;2005;2014-05-28
263;SuperiorCard;33333857621376;12;2006;2012-08-08
264;Distinguish;55557055583187;6;2007;2013-12-18
265;Distinguish;55552836814693;4;2007;2013-10-04
266;ColonialVoice;77775631592757;1;2007;2012-06-14
267;SuperiorCard;33331311168762;11;2005;2011-05-31
268;SuperiorCard;33332211768137;2;2006;2011-09-16
269;SuperiorCard;33337121705928;8;2007;2011-07-04
270;SuperiorCard;33338784038789;7;2008;2012-08-01
271;ColonialVoice;77772097663028;9;2006;2013-07-02
272;SuperiorCard;33336884975462;8;2005;2014-03-01
273;ColonialVoice;77774350037576;11;2006;2014-03-03
274;Distinguish;55553286107663;9;2008;2013-01-19
275;Distinguish;55555327654649;5;2008;2014-03-13
276;SuperiorCard;33336128462841;12;2007;2013-11-21
277;ColonialVoice;77779052030234;5;2005;2013-08-26
278;Distinguish;55558803622808;9;2008;2014-01-16
279;Vista;11116531194989;5;2006;2013-11-26
280;Vista;11119478266157;6;2006;2013-12-07
281;Distinguish;55551340489507;5;2006;2012-01-20
282;ColonialVoice;77776406538214;12;2006;2013-09-14
283;SuperiorCard;33339429165111;9;2005;2014-01-28
284;SuperiorCard;33333582192961;4;2005;2014-01-11
285;Distinguish;55553915166444;6;2008;2013-08-14
286;ColonialVoice;77773615831491;8;2007;2013-06-22
287;ColonialVoice;77774957386427;12;2006;2012-02-13
288;SuperiorCard;33333339429635;6;2007;2013-12-16
289;Distinguish;55558798543734;6;2008;2013-08-19
290;SuperiorCard;33338430651749;7;2006;2013-09-05
291;Distinguish;55556726374092;7;2007;2012-05-11
292;Vista;11115248640937;5;2005;2012-11-08
293;Vista;11111949366286;1;2007;2014-02-16
294;Vista;11111418735493;3;2005;2013-12-15
295;SuperiorCard;33335549151443;9;2007;2014-02-20
296;SuperiorCard;33333589610564;10;2008;2013-10-16
297;SuperiorCard;33333361325378;11;2005;2013-07-11
298;ColonialVoice;77776298632346;10;2008;2013-10-20
299;Distinguish;55551842980137;4;2006;2011-08-01
300;Vista;11118661036033;5;2007;2013-10-31
301;Distinguish;55558471257051;12;2006;2014-04-07
302;SuperiorCard;33335006452683;4;2006;2013-05-02
303;Vista;11119770104261;9;2005;2013-09-03
304;ColonialVoice;77775921255907;4;2008;2013-10-10
305;Distinguish;55552297689520;7;2005;2014-06-22
306;Vista;11114534921033;8;2007;2013-09-26
307;SuperiorCard;33331161840943;1;2006;2014-05-06
308;SuperiorCard;33331460725625;6;2007;2013-12-06
309;Vista;11117945717058;3;2007;2014-03-23
310;Distinguish;55554029756638;11;2006;2011-08-08
311;SuperiorCard;33335435900165;11;2006;2013-08-16
312;SuperiorCard;33333463470760;3;2008;2014-06-08
313;Distinguish;55558016579760;7;2007;2013-10-28
314;ColonialVoice;77777527755354;1;2007;2014-04-06
315;ColonialVoice;77772840648082;10;2008;2012-05-07
316;ColonialVoice;77777479245209;12;2006;2013-07-08
317;ColonialVoice;77775217016118;1;2007;2014-05-27
318;SuperiorCard;33333795332504;12;2005;2012-07-04
319;SuperiorCard;33333588055875;3;2008;2011-08-01
320;Distinguish;55559136297933;9;2005;2013-07-16
321;Vista;11115874925443;7;2005;2012-09-29
322;Vista;11111465897576;12;2006;2014-05-01
323;Distinguish;55556491880971;2;2007;2013-08-18
324;SuperiorCard;33336623042951;2;2005;2009-02-03
325;Vista;11113130199296;12;2007;2013-04-13
326;Distinguish;55559209385215;7;2008;2014-06-25
327;Distinguish;55552963103062;7;2008;2012-05-07
328;SuperiorCard;33337184417741;10;2006;2014-03-01
329;SuperiorCard;33333601842727;8;2008;2012-04-23
330;Distinguish;55559400224010;2;2007;2013-05-04
331;Distinguish;55558186928969;11;2006;2013-11-03
332;SuperiorCard;33335351251421;6;2006;2012-03-16
333;Distinguish;55559281360112;5;2005;2012-06-07
334;Distinguish;55558268660616;6;2005;2014-03-23
335;Distinguish;55551133073710;2;2005;2013-08-04
336;SuperiorCard;33332970292118;7;2008;2012-06-30
337;Vista;11114703000162;5;2007;2013-03-06
338;ColonialVoice;77777663342481;9;2008;2014-05-05
339;Distinguish;55559475880011;12;2008;2014-03-31
340;Distinguish;55555375872116;10;2006;2013-08-04
341;Vista;11114437847221;3;2005;2012-12-11
342;ColonialVoice;77776266152345;1;2006;2013-12-23
343;Vista;11115701454851;7;2008;2013-12-03
344;Vista;11119674361490;9;2006;2013-10-10
345;Vista;11118110021923;6;2008;2013-10-10
346;SuperiorCard;33335534675723;3;2008;2013-12-24
347;SuperiorCard;33337539270232;9;2005;2013-09-08
348;Distinguish;55551813343426;11;2008;2013-09-08
349;ColonialVoice;77772412583693;9;2007;2012-12-01
350;ColonialVoice;77774617407824;5;2007;2013-07-17
351;ColonialVoice;77776250422618;12;2007;2012-10-19
352;Vista;11111038492177;5;2005;2012-09-23
353;Vista;11113953531031;11;2008;2013-12-31
354;SuperiorCard;33337208763627;6;2007;2013-12-03
355;SuperiorCard;33336233008911;9;2008;2013-06-30
356;Vista;11114068402158;10;2008;2013-06-27
357;SuperiorCard;33339094840927;1;2008;2014-02-12
358;SuperiorCard;33336454753250;11;2006;2012-05-27
359;ColonialVoice;77776472904565;10;2008;2012-09-14
360;ColonialVoice;77772894126334;7;2005;2014-03-21
361;SuperiorCard;33333660692169;4;2007;2014-01-21
362;Distinguish;55553141509249;3;2007;2014-06-05
363;ColonialVoice;77775139403469;8;2006;2014-04-04
364;Distinguish;55558521977541;9;2007;2014-04-09
365;Vista;11113304959304;8;2005;2013-08-12
366;Distinguish;55551373386979;6;2007;2014-03-25
367;ColonialVoice;77771658774976;10;2006;2012-08-05
368;SuperiorCard;33337996194943;8;2008;2013-11-17
369;Distinguish;55558962653402;7;2008;2012-10-04
370;Distinguish;55552920607882;10;2007;2012-03-30
371;Vista;11111423384823;2;2006;2012-07-31
372;Distinguish;55554640760212;6;2008;2014-02-08
373;SuperiorCard;33336635791537;10;2008;2012-01-26
374;Vista;11118111347101;2;2007;2014-05-04
375;Distinguish;55556238588767;5;2005;2014-03-16
376;SuperiorCard;33337864080360;7;2006;2013-05-07
377;Vista;11112840822877;1;2005;2012-07-14
378;Distinguish;55551023233383;4;2006;2014-02-20
379;SuperiorCard;33339866323726;2;2008;2014-03-31
380;ColonialVoice;77773081956952;1;2008;2011-11-18
381;SuperiorCard;33333904253150;3;2006;2013-07-15
382;Vista;11116204530793;5;2007;2012-09-28
383;Vista;11111586263693;5;2006;2012-06-25
384;ColonialVoice;77775243331802;8;2007;2014-01-25
385;SuperiorCard;33337196614989;4;2005;2011-09-01
386;SuperiorCard;33334561570452;6;2006;2014-04-25
387;ColonialVoice;77774965490722;10;2006;2013-11-03
388;Distinguish;55556406236712;2;2007;2013-07-25
389;Distinguish;55552532138087;10;2005;2013-10-30
390;Vista;11118753411058;7;2008;2014-04-11
391;ColonialVoice;77772463833333;7;2005;2014-02-24
392;Vista;11118562672576;5;2007;2013-10-29
393;Vista;11111627148699;4;2006;2014-03-05
394;Distinguish;55553008487911;6;2006;2009-02-19
395;ColonialVoice;77771418781901;6;2006;2008-11-25
396;SuperiorCard;33338589135498;2;2006;2014-06-28
397;SuperiorCard;33338702777274;5;2006;2013-08-08
398;SuperiorCard;33339957826041;8;2006;2012-06-20
399;Vista;11118730511214;7;2006;2013-07-18
400;Vista;11118201757324;6;2005;2011-10-19
401;Distinguish;55557648719357;9;2007;2014-01-12
402;ColonialVoice;77778707357207;11;2008;2013-05-22
403;ColonialVoice;77775786670948;7;2008;2012-09-07
404;SuperiorCard;33331106176532;3;2007;2013-09-17
405;Distinguish;55558266354107;9;2006;2013-08-07
406;SuperiorCard;33335217748519;1;2007;2014-02-21
407;SuperiorCard;33335551916395;9;2005;2014-02-23
408;Distinguish;55557158842836;11;2008;2013-02-08
409;ColonialVoice;77775137357162;5;2008;2013-02-21
410;SuperiorCard;33333509526283;5;2008;2013-02-15
411;Distinguish;55554447610983;7;2005;2014-01-30
412;SuperiorCard;33335082259833;8;2005;2011-09-18
413;SuperiorCard;33331033535413;9;2008;2009-01-14
414;Distinguish;55559538056514;1;2006;2013-11-07
415;Distinguish;55558432859672;1;2005;2014-01-20
416;Vista;11111082178644;1;2005;2013-12-20
417;SuperiorCard;33332618411673;11;2006;2014-05-17
418;ColonialVoice;77778332989405;7;2005;2011-12-29
419;SuperiorCard;33331076984905;5;2005;2013-07-28
420;Distinguish;55559570001876;5;2008;2012-10-15
421;ColonialVoice;77779612128963;12;2006;2013-11-28
422;ColonialVoice;77776996793043;1;2005;2014-05-07
423;Vista;11117112577020;9;2007;2013-08-03
424;SuperiorCard;33338284484471;4;2008;2012-09-30
425;Distinguish;55556721176222;3;2008;2013-10-18
426;ColonialVoice;77778120734237;10;2006;2013-08-13
427;Distinguish;55555671830825;11;2006;2014-03-03
428;Vista;11118509073610;1;2008;2014-01-01
429;Vista;11113753448296;3;2008;2013-05-28
430;Vista;11112967268286;12;2006;2012-05-16
431;Distinguish;55551104697014;6;2007;2013-10-26
432;Vista;11112271428752;11;2006;2013-11-23
433;Distinguish;55558193114492;4;2008;2014-04-25
434;Distinguish;55557834333264;3;2006;2014-03-22
435;ColonialVoice;77776894282434;2;2008;2014-04-28
436;Distinguish;55553348891821;1;2006;2014-05-18
437;Vista;11111193733108;11;2008;2014-05-28
438;Distinguish;55557080374180;12;2005;2014-03-15
439;Vista;11114647899275;2;2006;2011-04-25
440;ColonialVoice;77779666377448;2;2007;2013-08-06
441;SuperiorCard;33333816093380;9;2006;2012-11-14
442;Vista;11112618684802;7;2005;2013-01-01
443;ColonialVoice;77771350508466;4;2007;2013-06-15
444;Distinguish;55551030969773;3;2007;2014-06-12
445;SuperiorCard;33338753811862;2;2005;2012-11-30
446;Vista;11112035204232;8;2007;2014-02-02
447;SuperiorCard;33336102961463;8;2007;2014-01-30
448;Vista;11115686139754;12;2007;2014-04-08
449;SuperiorCard;33335078009393;9;2006;2014-02-20
450;SuperiorCard;33332611348318;1;2006;2013-08-20
451;SuperiorCard;33334686765658;6;2005;2012-06-30
452;ColonialVoice;77775083078731;8;2006;2013-07-01
453;SuperiorCard;33338203979446;8;2007;2012-03-29
454;Distinguish;55555043237607;12;2007;2013-10-16
455;SuperiorCard;33332183266192;3;2006;2013-11-11
456;Distinguish;55557142435353;6;2006;2013-10-18
457;ColonialVoice;77777548924657;5;2005;2013-08-04
458;Distinguish;55553370468042;8;2005;2014-02-09
459;Distinguish;55551901555401;9;2007;2014-03-25
460;Distinguish;55555191562983;6;2006;2013-11-11
461;SuperiorCard;33337688484350;10;2006;2013-11-25
462;SuperiorCard;33331674576298;6;2006;2014-04-05
463;Vista;11119132324496;3;2008;2013-10-29
464;SuperiorCard;33333832543745;12;2007;2013-12-16
465;Distinguish;55552532063814;2;2005;2013-08-12
466;SuperiorCard;33338832686616;9;2005;2012-09-05
467;Vista;11117786482300;7;2006;2014-04-04
468;ColonialVoice;77772148623166;10;2006;2014-05-05
469;SuperiorCard;33338487053577;8;2006;2008-12-08
470;Vista;11119984033310;6;2008;2014-04-14
471;Distinguish;55557037877744;11;2005;2013-10-31
472;ColonialVoice;77775569039939;4;2007;2013-07-14
473;Distinguish;55559166090565;3;2007;2013-09-06
474;SuperiorCard;33336927304298;6;2006;2014-04-27
475;SuperiorCard;33335900275155;2;2007;2014-06-30
476;Distinguish;55559090501662;3;2007;2014-01-09
477;Distinguish;55552304141831;4;2007;2014-04-07
478;Distinguish;55552693706014;7;2007;2013-09-04
479;SuperiorCard;33334025587335;1;2008;2013-12-17
480;Distinguish;55554367752780;8;2007;2012-04-23
481;SuperiorCard;33332717078038;9;2007;2012-08-13
482;Vista;11112604867030;9;2006;2013-01-21
483;Distinguish;55551964548972;8;2007;2013-11-01
484;SuperiorCard;33333203219095;7;2006;2013-08-15
485;SuperiorCard;33334129214566;12;2007;2013-10-02
486;Distinguish;55558314539187;6;2006;2012-05-23
487;Vista;11116231720012;8;2005;2014-04-12
488;Distinguish;55552299726560;8;2006;2014-02-02
489;SuperiorCard;33335611789267;8;2005;2013-12-05
490;Vista;11119066055449;11;2007;2012-06-30
491;Vista;11111597828182;8;2007;2013-07-07
492;Vista;11115617194142;8;2007;2012-02-12
493;ColonialVoice;77771742408351;1;2006;2013-12-10
494;Distinguish;55553764071525;10;2006;2012-10-05
495;Distinguish;55554303119616;10;2008;2013-07-04
496;ColonialVoice;77772181007129;9;2007;2013-12-24
497;Distinguish;55554356601766;2;2007;2014-01-25
498;SuperiorCard;33336911951207;9;2007;2014-03-16
499;Distinguish;55555834608749;8;2008;2014-05-08
500;ColonialVoice;77771316555965;8;2008;2013-09-16
501;Distinguish;55556962137435;6;2005;2013-12-24
502;Vista;11114200367073;4;2006;2014-04-12
503;Vista;11113877273056;11;2007;2013-11-09
504;Distinguish;55551093420332;2;2005;2013-11-24
505;Distinguish;55552587025031;8;2005;2013-07-25
506;ColonialVoice;77777780556089;10;2008;2014-01-25
507;ColonialVoice;77774872379859;6;2008;2013-10-16
508;Vista;11113103399133;9;2008;2013-03-11
509;Distinguish;55556530992389;11;2007;2013-11-10
510;SuperiorCard;33334902958924;7;2006;2013-04-27
511;SuperiorCard;33335925651116;5;2008;2013-07-11
512;Vista;11119317586997;2;2005;2013-09-01
513;SuperiorCard;33335176511189;4;2006;2013-03-03
514;ColonialVoice;77778365874918;2;2007;2013-10-20
515;Vista;11114815786346;12;2007;2014-05-20
516;Vista;11114044178340;7;2007;2013-08-28
517;Distinguish;55556998351597;12;2005;2008-12-01
518;ColonialVoice;77775022996745;10;2005;2013-12-19
519;Vista;11116640674932;9;2006;2012-11-29
520;Distinguish;55557900302904;8;2008;2014-06-23
521;SuperiorCard;33339115763066;1;2005;2012-03-30
522;Distinguish;55557537147049;5;2008;2013-07-12
523;SuperiorCard;33331650684222;9;2005;2013-11-18
524;Distinguish;55558028460782;12;2006;2013-11-05
